"","X","title","year","length","budget","rating","votes","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"44146",44146,"Rumble Fish",1983,94,10000000,6.8,3354,0,0,0,1,0,0,0
"44182",44182,"Runaway Bride",1999,116,70000000,5.4,12624,0,0,1,0,0,1,0
"44188",44188,"Runaway Jury",2003,127,60000000,7.1,10761,0,0,0,1,0,0,0
"44192",44192,"Rundown, The",2003,104,85000000,6.5,8067,1,0,1,0,0,0,0
"44210",44210,"Running Man, The",1987,101,27000000,6.2,11847,1,0,0,0,0,0,0
"44249",44249,"Rush Hour",1998,93,35000000,6.7,18336,1,0,1,0,0,0,0
"44250",44250,"Rush Hour 2",2001,86,90000000,6.5,16581,1,0,1,0,0,0,0
"44258",44258,"Rushmore",1998,93,10000000,7.7,22209,0,0,1,1,0,1,0
"44325",44325,"S.W.A.T.",2003,117,80000000,5.9,12732,1,0,0,0,0,0,0
"44363",44363,"Sabrina",1954,113,2238813,7.6,5933,0,0,1,0,0,1,0
"44364",44364,"Sabrina",1995,127,58000000,6.1,7547,0,0,1,1,0,1,0
"44444",44444,"Sahara",2005,124,130000000,5.8,3004,1,0,1,0,0,0,0
"44486",44486,"Saint, The",1997,116,70000000,5.7,12591,1,0,0,0,0,1,0
"44554",44554,"Salton Sea, The",2002,107,18000000,7.2,5070,0,0,0,1,0,0,0
"44565",44565,"Salvador",1986,123,4500000,7.4,2568,0,0,0,1,0,0,0
"44680",44680,"Sand Pebbles, The",1966,193,12000000,7.6,1773,0,0,0,1,0,1,0
"44698",44698,"Sands of Iwo Jima",1949,109,1000000,7,1353,1,0,0,1,0,1,0
"44745",44745,"Santa Claus Conquers the Martians",1964,81,200000,2.3,1876,0,0,0,0,0,0,0
"44747",44747,"Santa Clause 2, The",2002,105,60000000,5.8,2616,0,0,1,0,0,1,0
"44762",44762,"Santa sangre",1989,123,787000,7.2,1165,0,0,0,1,0,0,0
"44889",44889,"Satyricon",1969,129,3000000,6.5,1879,0,0,1,1,0,1,0
"44939",44939,"Save the Last Dance",2001,112,13000000,6.1,7613,0,0,0,1,0,1,0
"44944",44944,"Saved!",2004,92,5000000,7.1,6504,0,0,1,1,0,0,0
"44949",44949,"Saving Private Ryan",1998,170,70000000,8.3,100267,1,0,0,1,0,0,0
"44951",44951,"Saving Silverman",2001,96,22000000,5.4,6684,0,0,1,0,0,1,0
"44953",44953,"Savior",1998,104,10000000,7.2,1775,0,0,0,1,0,0,0
"44956",44956,"Saw",2004,100,1200000,7.5,17191,0,0,0,0,0,0,0
"44963",44963,"Say It Isn't So",2001,93,25000000,4.6,3144,0,0,1,0,0,1,0
"45033",45033,"Scarface",1983,170,25000000,7.9,28300,0,0,0,1,0,0,0
"45049",45049,"Scarlet Letter, The",1995,135,50000000,4.4,2426,0,0,0,1,0,1,0
"45060",45060,"Scary Movie",2000,88,19000000,5.5,23293,0,0,1,0,0,0,0
"45061",45061,"Scary Movie 2",2001,83,45000000,4.2,12035,0,0,1,0,0,0,0
"45062",45062,"Scary Movie 3",2003,84,45000000,5.3,9225,0,0,1,0,0,0,0
"45127",45127,"Schindler's List",1993,195,25000000,8.8,97667,0,0,0,1,0,0,0
"45161",45161,"School of Rock, The",2003,108,20000000,7.4,16452,0,0,1,0,0,0,0
"45205",45205,"Scooby-Doo",2002,86,84000000,4.8,9618,0,0,1,0,0,0,0
"45215",45215,"Score, The",2001,124,68000000,6.8,16106,0,0,0,1,0,0,0
"45223",45223,"Scorpion King, The",2002,92,60000000,5.3,10111,1,0,0,0,0,0,0
"45259",45259,"Scream",1996,111,15000000,7,43652,0,0,0,0,0,0,0
"45260",45260,"Scream 2",1997,120,24000000,5.9,21533,0,0,0,0,0,0,0
"45261",45261,"Scream 3",2000,116,40000000,5.4,15403,0,0,0,0,0,0,0
"45275",45275,"Screamers",1995,108,11000000,5.6,2725,0,0,0,0,0,0,0
"45298",45298,"Screwed",2000,78,10000000,4.8,1592,0,0,1,0,0,0,0
"45331",45331,"Se7en",1995,127,30000000,8.4,88371,0,0,0,1,0,0,0
"45343",45343,"Sea Hawk, The",1940,127,1700000,7.8,1124,0,0,0,0,0,1,0
"45362",45362,"Seabiscuit",2003,141,86000000,7.5,11552,0,0,0,1,0,0,0
"45386",45386,"Searchers, The",1956,119,3750000,8.2,10211,0,0,0,1,0,0,0
"45448",45448,"Secondhand Lions",2003,120,30000000,7.4,5543,0,0,1,1,0,0,0
"45517",45517,"Secret Window",2004,96,40000000,6.3,13260,0,0,0,1,0,0,0
"45551",45551,"Secrets & Lies",1996,136,4500000,7.9,7747,0,0,1,1,0,0,0
"45591",45591,"See Spot Run",2001,94,16000000,5,1193,0,0,1,0,0,0,0
"45599",45599,"Seed of Chucky",2004,87,12000000,5.1,1342,0,0,1,0,0,0,0
"45654",45654,"Selena",1997,127,20000000,6.1,2870,0,0,0,1,0,0,0
"45728",45728,"Sense and Sensibility",1995,136,16500000,7.7,13904,0,0,1,1,0,1,0
"45793",45793,"Serendipity",2001,90,28000000,6.6,10795,0,0,1,0,0,1,0
"45805",45805,"Sergeant York",1941,134,1400000,7.9,2239,0,0,0,1,0,0,0
"45818",45818,"Serial Mom",1994,95,13000000,6.3,4750,0,0,1,0,0,0,0
"45824",45824,"Serpent and the Rainbow, The",1988,98,7000000,5.9,2166,0,0,0,0,0,0,0
"45839",45839,"Serving Sara",2002,99,29000000,4.6,2990,0,0,1,0,0,1,0
"45845",45845,"Session 9",2001,97,1500000,6.6,3718,0,0,0,1,0,0,0
"45853",45853,"Set It Off",1996,123,9000000,6.1,1619,1,0,0,1,0,0,0
"45901",45901,"Seven Days in May",1964,118,2200000,7.8,1960,0,0,0,1,0,0,0
"45937",45937,"Seven Year Itch, The",1955,105,3200000,7.2,3211,0,0,1,0,0,0,0
"45939",45939,"Seven Years in Tibet",1997,139,70000000,6.6,9426,0,0,0,1,0,0,0
"46013",46013,"Sex, Lies, and Videotape",1989,100,1200000,7.1,7461,0,0,0,1,0,0,0
"46057",46057,"Sgt. Bilko",1996,93,39000000,5.1,3712,0,0,1,0,0,0,0
"46059",46059,"Sgt. Pepper's Lonely Hearts Club Band",1978,113,18000000,3.6,1419,0,0,0,0,0,0,0
"46073",46073,"Shade",2003,101,6800000,6.5,1616,0,0,0,1,0,0,0
"46083",46083,"Shadow Conspiracy",1997,103,45000000,4.5,1078,1,0,0,0,0,0,0
"46117",46117,"Shadow of the Vampire",2000,87,8000000,6.8,8366,0,0,1,1,0,0,0
"46122",46122,"Shadow, The",1994,108,40000000,5.2,3386,1,0,0,0,0,0,0
"46133",46133,"Shadows and Fog",1992,85,14000000,6.3,2303,0,0,1,1,0,0,0
"46141",46141,"Shaft",1971,100,1125000,6.5,2923,1,0,0,1,0,0,0
"46142",46142,"Shaft",2000,99,46000000,6,13742,1,0,0,0,0,0,0
"46164",46164,"Shakespeare in Love",1998,122,25000000,7.5,41999,0,0,1,1,0,1,0
"46178",46178,"Shall We Dance",2004,106,40000000,6,3479,0,0,1,1,0,1,0
"46181",46181,"Shallow Grave",1994,93,2500000,7.4,9401,0,0,0,1,0,0,0
"46183",46183,"Shallow Hal",2001,113,40000000,6.1,13217,0,0,1,1,0,1,0
"46201",46201,"Shanghai Knights",2003,114,50000000,6.3,7279,1,0,1,0,0,0,0
"46202",46202,"Shanghai Noon",2000,110,55000000,6.7,12258,1,0,1,0,0,0,0
"46235",46235,"Shape of Things, The",2003,96,4000000,6.9,1816,0,0,0,1,0,0,0
"46247",46247,"Shark Tale",2004,90,75000000,5.9,7819,1,1,1,0,0,0,0
"46263",46263,"Shattered Glass",2003,95,6000000,7.5,4108,0,0,0,1,0,0,0
"46266",46266,"Shaun of the Dead",2004,99,4000000,7.9,18685,0,0,1,0,0,0,0
"46269",46269,"Shawshank Redemption, The",1994,142,25000000,9.1,149494,0,0,0,1,0,0,0
"46303",46303,"She Wore a Yellow Ribbon",1949,103,1600000,7.5,2242,0,0,0,0,0,1,0
"46313",46313,"She's All That",1999,95,10000000,5.5,13070,0,0,1,0,0,1,0
"46317",46317,"She's Gotta Have It",1986,88,160000,6.3,1034,0,0,1,0,0,1,0
"46322",46322,"She's So Lovely",1997,100,18000000,5.7,2280,0,0,1,1,0,1,0
"46325",46325,"She's the One",1996,96,3500000,6,3779,0,0,1,0,0,1,0
"46408",46408,"Shichinin no samurai",1954,206,500000,8.9,32141,1,0,0,1,0,0,0
"46435",46435,"Shine",1996,105,5500000,7.6,12425,0,0,0,1,0,1,0
"46445",46445,"Shining, The",1980,146,19000000,8.3,50908,0,0,0,0,0,0,0
"46465",46465,"Shipping News, The",2001,111,35000000,6.9,7695,0,0,0,1,0,1,0
"46554",46554,"Shooting Fish",1997,103,3000000,6.6,2701,0,0,1,0,0,1,0
"46644",46644,"Showgirls",1995,131,45000000,3.8,11483,0,0,0,1,0,0,0
"46646",46646,"Showtime",2002,96,85000000,5.5,7689,1,0,1,0,0,0,0
"46648",46648,"Shrek",2001,90,60000000,8,65146,0,1,1,0,0,1,0
"46649",46649,"Shrek 2",2004,92,75000000,7.8,27236,0,1,1,0,0,0,0
"46717",46717,"Sibirskiy tsiryulnik",1998,275,35000000,7.1,1254,0,0,0,1,0,1,0
"46726",46726,"Sid and Nancy",1986,110,4000000,7,3057,0,0,0,1,0,0,0
"46745",46745,"Sidewalks of New York",2001,108,1000000,6.5,1998,0,0,1,0,0,1,0
"46746",46746,"Sideways",2004,123,16000000,8,17051,0,0,1,1,0,0,0
"46768",46768,"Siege, The",1998,116,70000000,5.9,9725,1,0,0,1,0,0,0
"46826",46826,"Signs",2002,108,72000000,7.1,40285,0,0,0,1,0,0,0
"46840",46840,"Silence of the Lambs, The",1991,118,19000000,8.5,92060,0,0,0,0,0,0,0
"46870",46870,"Silent Movie",1976,87,4400000,6.3,2321,0,0,1,0,0,0,0
"46914",46914,"Silver Bullet",1985,95,7000000,5.6,2000,0,0,0,0,0,0,0
"46941",46941,"Silverado",1985,127,26000000,7,6118,1,0,0,1,0,0,0
"46952",46952,"Simon Birch",1998,113,20000000,6.8,4612,0,0,1,1,0,0,0
"46967",46967,"Simple Plan, A",1998,121,17000000,7.6,15398,0,0,0,1,0,0,0
"46974",46974,"Simply Irresistible",1999,94,6000000,4.7,3083,0,0,1,0,0,1,0
"46980",46980,"Sin City",2005,124,45500000,8.3,23473,1,0,0,0,0,0,0
"47000",47000,"Sinbad: Legend of the Seven Seas",2003,86,60000000,6.5,2340,0,1,0,0,0,0,0
"47035",47035,"Singin' in the Rain",1952,103,2540800,8.5,20585,0,0,1,0,0,1,0
"47038",47038,"Singing Detective, The",2003,109,10000000,5.3,1184,0,0,1,1,0,0,0
"47075",47075,"Sinnui yauman",1987,92,5600000,7.4,1606,1,0,0,0,0,1,0
"47130",47130,"Sisters",1973,92,500000,6.8,1088,0,0,0,0,0,0,0
"47152",47152,"Siunin Wong Fei-hung tsi titmalau",1993,90,2000000,7.4,3173,1,0,1,0,0,0,0
"47158",47158,"Six Days Seven Nights",1998,101,70000000,5.6,11112,1,0,1,0,0,1,0
"47174",47174,"Six-String Samurai",1998,91,2000000,6.2,1163,1,0,0,0,0,0,0
"47178",47178,"Sixteen Candles",1984,93,6500000,6.9,8690,0,0,1,0,0,1,0
"47185",47185,"Sixth Sense, The",1999,107,55000000,8.2,96987,0,0,0,1,0,0,0
"47195",47195,"Sjunde inseglet, Det",1957,92,150000,8.4,9622,0,0,0,1,0,0,0
"47279",47279,"Skulls, The",2000,106,15000000,5.3,6530,0,0,0,1,0,0,0
"47285",47285,"Sky Captain and the World of Tomorrow",2004,106,40000000,6.5,12579,1,0,0,0,0,0,0
"47321",47321,"Slacker",1991,97,23000,6.7,2108,0,0,1,1,0,0,0
"47322",47322,"Slackers",2002,86,11000000,4.7,2755,0,0,1,0,0,0,0
"47389",47389,"Sleepaway Camp",1983,84,350000,5.3,1104,0,0,0,0,0,0,0
"47392",47392,"Sleeper",1973,89,2000000,7.4,5571,0,0,1,0,0,0,0
"47393",47393,"Sleepers",1996,147,44000000,7,17896,0,0,0,1,0,0,0
"47396",47396,"Sleeping Beauty",1959,75,6000000,7.4,5843,0,1,0,0,0,1,0
"47412",47412,"Sleepless in Seattle",1993,105,21000000,6.7,19224,0,0,1,1,0,1,0
"47424",47424,"Sleepy Hollow",1999,105,65000000,7.4,38857,0,0,0,0,0,0,0
"47494",47494,"Slums of Beverly Hills",1998,92,5000000,6.4,2914,0,0,1,1,0,0,0
"47515",47515,"Small Soldiers",1998,110,40000000,5.8,6938,1,0,1,0,0,0,0
"47517",47517,"Small Time Crooks",2000,94,18000000,6.5,6218,0,0,1,0,0,1,0
"47573",47573,"Smilla's Sense of Snow",1997,120,35000000,6.3,3722,1,0,0,1,0,0,0
"47581",47581,"Smoke",1995,112,7000000,7.4,8111,0,0,1,1,0,0,0
"47584",47584,"Smoke Signals",1998,88,2000000,7.2,2665,0,0,1,1,0,0,0
"47622",47622,"Snake Eyes",1998,98,73000000,5.7,12091,0,0,0,0,0,0,0
"47638",47638,"Snatch.",2000,102,10000000,7.9,44785,0,0,1,0,0,0,0
"47666",47666,"Snow Day",2000,89,13000000,4.6,1645,0,0,1,0,0,1,0
"47668",47668,"Snow Dogs",2002,99,35000000,5.1,2379,0,0,1,0,0,0,0
"47670",47670,"Snow Falling on Cedars",1999,127,36000000,6.7,4536,0,0,0,1,0,0,0
"47678",47678,"Snow White and the Seven Dwarfs",1937,83,1488000,7.8,14341,0,1,0,1,0,0,0
"47845",47845,"Solaris",2002,99,47000000,6.3,11808,0,0,0,1,0,1,0
"47858",47858,"Soldier",1998,98,75000000,5.2,5590,1,0,0,0,0,0,0
"47954",47954,"Some Like It Hot",1959,120,2883848,8.4,25369,0,0,1,0,0,1,0
"47972",47972,"Someone Like You...",2001,97,23000000,5.7,4249,0,0,1,0,0,1,0
"47992",47992,"Something Wicked This Way Comes",1983,95,19000000,6.5,1302,0,0,0,0,0,0,0
"48017",48017,"Somewhere in Time",1980,103,5100000,6.8,3837,0,0,0,1,0,1,0
"48059",48059,"Son of the Mask",2005,94,74000000,1.9,1785,1,0,1,0,0,0,0
"48174",48174,"Sorority Boys",2002,93,12000000,5.1,2398,0,0,1,0,0,0,0
"48214",48214,"Soul Food",1997,114,7500000,6.5,1166,0,0,1,1,0,0,0
"48217",48217,"Soul Plane",2004,92,16000000,3.2,2361,0,0,1,0,0,0,0
"48220",48220,"Soul Survivors",2001,84,14000000,3.6,2305,0,0,0,0,0,0,0
"48247",48247,"Sound of Music, The",1965,174,8200000,7.8,20641,0,0,0,1,0,0,0
"48286",48286,"South Pacific",1958,171,6000000,6.6,1387,0,0,0,0,0,1,0
"48287",48287,"South Park: Bigger Longer & Uncut",1999,81,21000000,7.6,33188,0,1,1,0,0,0,0
"48342",48342,"Space Cowboys",2000,130,65000000,6.4,11887,0,0,0,1,0,0,0
"48345",48345,"Space Jam",1996,87,80000000,5.2,7995,0,1,1,0,0,0,0
"48358",48358,"Space Truckers",1996,95,25000000,4.5,1460,0,0,1,0,0,0,0
"48362",48362,"Spaceballs",1987,96,22700000,6.7,20054,0,0,1,0,0,0,0
"48380",48380,"Spanglish",2004,130,80000000,6.7,4698,0,0,1,1,0,1,0
"48397",48397,"Spanking the Monkey",1994,100,200000,6.5,1352,0,0,1,1,0,0,0
"48415",48415,"Spartacus",1960,198,12000000,8,17084,1,0,0,1,0,1,0
"48422",48422,"Spawn",1997,98,40000000,4.6,7523,1,0,0,0,0,0,0
"48444",48444,"Specialist, The",1994,110,45000000,4.7,6602,1,0,0,1,0,0,0
"48447",48447,"Species",1995,108,35000000,5.4,8963,1,0,0,1,0,0,0
"48465",48465,"Speed",1994,116,28000000,7.1,32979,1,0,0,0,0,0,0
"48467",48467,"Speed 2: Cruise Control",1997,121,110000000,3.3,13268,1,0,0,0,0,1,0
"48487",48487,"Spellbound",1945,111,1696377,7.6,5108,0,0,0,1,0,1,0
"48499",48499,"Sphere",1998,134,80000000,5.3,12990,0,0,0,0,0,0,0
"48507",48507,"Spice World",1997,93,25000000,3,7710,0,0,1,0,0,0,0
"48508",48508,"Spider",2002,94,8000000,6.8,5193,0,0,0,1,0,0,0
"48517",48517,"Spider-Man",2002,121,139000000,7.4,63228,1,0,0,0,0,0,0
"48518",48518,"Spider-Man 2",2004,127,200000000,7.9,40256,1,0,0,0,0,0,0
"48529",48529,"Spies Like Us",1985,102,22000000,5.7,6434,0,0,1,0,0,0,0
"48578",48578,"Spirit of St. Louis, The",1957,135,6000000,7.1,1007,0,0,0,1,0,0,0
"48582",48582,"Spirit: Stallion of the Cimarron",2002,86,80000000,6.4,2738,0,1,0,0,0,0,0
"48593",48593,"Spitfire Grill, The",1996,117,6000000,6.7,2245,0,0,0,1,0,0,0
"48597",48597,"Splash",1984,111,8000000,6.3,9428,0,0,1,0,0,1,0
"48610",48610,"Split Second",1992,90,7000000,5.3,1120,1,0,0,0,0,0,0
"48624",48624,"SpongeBob SquarePants Movie, The",2004,90,30000000,6.5,2672,0,1,1,0,0,0,0
"48685",48685,"Spun",2002,106,2800000,6.2,3924,0,0,1,1,0,0,0
"48689",48689,"Spy Game",2001,126,92000000,7,16736,1,0,0,1,0,0,0
"48690",48690,"Spy Hard",1996,81,18000000,4.5,4686,1,0,1,0,0,0,0
"48691",48691,"Spy Kids",2001,88,35000000,6.2,7400,1,0,1,0,0,0,0
"48692",48692,"Spy Kids 2: Island of Lost Dreams",2002,99,39000000,5.8,3175,1,0,1,0,0,0,0
"48693",48693,"Spy Kids 3-D: Game Over",2003,84,39000000,4.7,2597,1,0,1,0,0,0,0
"48699",48699,"Spy Who Loved Me, The",1977,123,14000000,6.9,8130,1,0,0,0,0,0,0
"48781",48781,"Stage Door",1937,92,952000,7.6,1085,0,0,0,1,0,0,0
"48796",48796,"Stagecoach",1939,96,531300,8,5646,1,0,0,1,0,1,0
"48817",48817,"Stalag 17",1953,116,1315000,8.2,7153,0,0,0,1,0,0,0
"48842",48842,"Stand by Me",1986,89,8000000,8,30805,0,0,0,1,0,0,0
"48882",48882,"Star Is Born, A",1954,176,5019770,7.7,1856,0,0,0,1,0,0,0
"48895",48895,"Star Trek III: The Search for Spock",1984,105,17000000,6.2,9808,1,0,0,0,0,0,0
"48896",48896,"Star Trek IV: The Voyage Home",1986,136,25000000,7.1,11647,0,0,1,0,0,0,0
"48897",48897,"Star Trek V: The Final Frontier",1989,107,27800000,4.8,9215,1,0,0,0,0,0,0
"48898",48898,"Star Trek VI: The Undiscovered Country",1991,113,30000000,6.9,10367,1,0,0,0,0,0,0
"48900",48900,"Star Trek: First Contact",1996,106,45000000,7.3,25046,1,0,0,0,0,0,0
"48901",48901,"Star Trek: Generations",1994,118,35000000,6.2,12651,1,0,0,1,0,0,0
"48902",48902,"Star Trek: Insurrection",1998,103,58000000,6.3,13395,1,0,0,1,0,1,0
"48903",48903,"Star Trek: Nemesis",2002,116,70000000,6.5,11785,1,0,0,1,0,0,0
"48905",48905,"Star Trek: The Motion Picture",1979,143,35000000,5.8,10752,0,0,0,0,0,0,0
"48906",48906,"Star Trek: The Wrath of Khan",1982,116,11000000,7.6,16333,1,0,0,0,0,0,0
"48908",48908,"Star Wars",1977,125,11000000,8.8,134640,1,0,0,0,0,0,0
"48909",48909,"Star Wars: Episode I - The Phantom Menace",1999,133,115000000,6.4,84488,1,0,0,0,0,0,0
"48910",48910,"Star Wars: Episode II - Attack of the Clones",2002,120,120000000,7,63889,1,0,0,0,0,0,0
"48911",48911,"Star Wars: Episode V - The Empire Strikes Back",1980,129,18000000,8.8,103706,1,0,0,0,0,0,0
"48912",48912,"Star Wars: Episode VI - Return of the Jedi",1983,135,32500000,8.1,82471,1,0,0,0,0,0,0
"48933",48933,"Stardust Memories",1980,91,10000000,6.8,2148,0,0,1,1,0,0,0
"48939",48939,"Stargate",1994,130,55000000,6.4,17520,1,0,0,0,0,0,0
"48951",48951,"Starman",1984,115,24000000,6.8,5541,0,0,0,1,0,1,0
"48970",48970,"Starship Troopers",1997,129,95000000,6.7,32618,1,0,0,0,0,0,0
"48972",48972,"Starsky & Hutch",2004,101,60000000,6.3,13529,1,0,1,0,0,0,0
"49009",49009,"Station Agent, The",2003,88,500000,8.1,7112,0,0,0,1,0,0,0
"49038",49038,"Stealing Harvard",2002,82,25000000,4.7,2547,0,0,1,1,0,0,0
"49055",49055,"Steel",1997,97,16000000,2.6,1607,1,0,0,0,0,0,0
"49107",49107,"Stepford Wives, The",2004,93,90000000,5.3,7773,0,0,1,1,0,0,0
"49110",49110,"Stepmom",1998,124,50000000,6.1,7470,0,0,1,1,0,0,0
"49151",49151,"Stigmata",1999,103,32000000,6,14062,0,0,0,1,0,0,0
"49185",49185,"Sting, The",1973,129,5500000,8.4,23678,0,0,1,1,0,0,0
"49191",49191,"Stir of Echoes",1999,99,13000000,7,11433,0,0,0,0,0,0,0
"49317",49317,"Story of Us, The",1999,95,50000000,5.6,4953,0,0,1,1,0,1,0
"49348",49348,"Straight Story, The",1999,112,10000000,8.1,14679,0,0,0,1,0,0,0
"49384",49384,"Strange Days",1995,145,42000000,6.9,11869,1,0,0,1,0,0,0
"49413",49413,"Strangeland",1998,92,2000000,4.4,1179,0,0,0,0,0,0,0
"49421",49421,"Stranger Than Paradise",1983,89,90000,7.4,2873,0,0,1,1,0,0,0
"49447",49447,"Strangers on a Train",1951,103,1200000,8.3,10624,0,0,0,1,0,0,0
"49471",49471,"Straw Dogs",1971,113,3251794,7.4,4755,0,0,0,1,0,0,0
"49524",49524,"Streetcar Named Desire, A",1951,125,1800000,8.1,9623,0,0,0,1,0,0,0
"49526",49526,"Streets of Fire",1984,93,14500000,6.2,1860,1,0,0,0,0,1,0
"49575",49575,"Stripes",1981,106,10000000,6.8,7406,0,0,1,0,0,0,0
"49586",49586,"Striptease",1996,117,50000000,3.8,7998,0,0,1,1,0,0,0
"49614",49614,"Stuart Little",1999,81,103000000,6,8009,0,0,1,0,0,0,0
"49615",49615,"Stuart Little 2",2002,82,120000000,5.9,2324,0,0,1,0,0,0,0
"49665",49665,"Stupids, The",1996,94,25000000,3.7,1503,0,0,1,0,0,0,0
"49764",49764,"Suddenly, Last Summer",1959,114,3000000,7.5,1381,0,0,0,1,0,0,0
"49775",49775,"Sugar & Spice",2001,84,11000000,5.3,2901,0,0,1,0,0,0,0
"49786",49786,"Sugarland Express, The",1974,110,3000000,6.7,1461,0,0,0,1,0,0,0
"49799",49799,"Suicide Kings",1997,106,5000000,7,6117,0,0,1,1,0,0,0
"49814",49814,"Sullivan's Travels",1941,90,689665,8.2,2896,0,0,1,0,0,1,0
"49820",49820,"Sum of All Fears, The",2002,123,68000000,6.6,15835,1,0,0,1,0,0,0
"49830",49830,"Summer Catch",2001,105,17000000,4.5,2581,0,0,1,0,0,1,0
"49857",49857,"Summer of Sam",1999,142,22000000,6.5,8151,0,0,0,1,0,1,0
"49925",49925,"Sunset Blvd.",1950,115,1752000,8.6,16149,0,0,0,1,0,0,0
"49945",49945,"Sunshine State",2002,141,5600000,7,1481,0,0,0,1,0,0,0
"49969",49969,"Super Mario Bros.",1993,104,42000000,3.6,5376,1,0,1,0,0,0,0
"49972",49972,"Super Size Me",2004,100,300000,7.7,9487,0,0,0,0,1,0,0
"49976",49976,"Super Troopers",2001,100,3000000,6.3,7728,0,0,1,0,0,0,0
"49997",49997,"Supergirl",1984,150,35000000,3.9,2490,1,0,0,0,0,0,0
"50008",50008,"Superman",1978,151,55000000,7.1,17327,1,0,0,0,0,0,0
"50010",50010,"Superman II",1980,127,54000000,6.5,10085,1,0,0,0,0,0,0
"50025",50025,"Superstar",1999,81,14000000,4.5,2880,0,0,1,0,0,0,0
"50111",50111,"Surviving Picasso",1996,125,16000000,6.1,1139,0,0,0,1,0,1,0
"50136",50136,"Suspect Zero",2004,99,27000000,5.7,1310,0,0,0,1,0,0,0
"50212",50212,"Swamp Thing",1982,91,3000000,5,1179,0,0,0,0,0,0,0
"50269",50269,"Sweet Home Alabama",2002,108,38000000,5.8,9943,0,0,1,1,0,1,0
"50285",50285,"Sweet November",2001,115,40000000,5.5,5458,0,0,1,1,0,1,0
"50309",50309,"Sweetest Thing, The",2002,90,43000000,4.7,8284,0,0,1,0,0,1,0
"50319",50319,"Swept Away",2002,89,10000000,3.8,2113,0,0,1,0,0,1,0
"50325",50325,"Swimfan",2002,85,8500000,4.5,3863,0,0,0,1,0,0,0
"50333",50333,"Swimming with Sharks",1994,101,700000,7.1,4837,0,0,1,1,0,0,0
"50351",50351,"Swing Time",1936,103,886000,7.7,1135,0,0,1,0,0,1,0
"50356",50356,"Swingers",1996,96,200000,7.6,15827,0,0,1,1,0,0,0
"50364",50364,"Swiri",1999,125,5000000,6.6,1704,1,0,0,0,0,1,0
"50371",50371,"Switchback",1997,118,38000000,6.1,2195,1,0,0,0,0,0,0
"50388",50388,"Swordfish",2001,99,80000000,6.2,20455,1,0,0,0,0,0,0
"50476",50476,"T2 3-D: Battle Across Time",1996,12,60000000,7.2,2243,1,0,0,0,0,0,1
"50479",50479,"THX 1138",1971,88,777000,6.5,4274,0,0,0,1,0,0,0
"50521",50521,"Tadpole",2002,78,150000,6.3,1769,0,0,1,1,0,1,0
"50523",50523,"Taegukgi hwinalrimyeo",2004,140,12800000,8.5,1792,1,0,0,1,0,0,0
"50554",50554,"Tailor of Panama, The",2001,109,18000000,6.1,5997,0,0,1,1,0,0,0
"50597",50597,"Take the Money and Run",1969,85,1500000,7.3,3025,0,0,1,0,0,0,0
"50652",50652,"Talented Mr. Ripley, The",1999,139,40000000,7,25974,0,0,0,1,0,0,0
"50674",50674,"Talk Radio",1988,110,4000000,6.9,2080,0,0,0,1,0,0,0
"50739",50739,"Tang shan da xiong",1971,115,100000,6.3,1468,1,0,0,1,0,0,0
"50750",50750,"Tango & Cash",1989,104,55000000,5.4,7657,1,0,1,0,0,0,0
"50771",50771,"Tank Girl",1995,104,25000000,4.6,4400,1,0,1,0,0,0,0
"50851",50851,"Tarzan",1999,88,150000000,7.1,10672,0,1,0,0,0,0,0
"50945",50945,"Taxi Driver",1976,110,1300000,8.5,47873,0,0,0,1,0,0,0
"50983",50983,"Tea with Mussolini",1999,117,12000000,6.7,2711,0,0,1,1,0,0,0
"50993",50993,"Teaching Mrs. Tingle",1999,96,13000000,5,5244,0,0,1,0,0,0,0
"50995",50995,"Team America: World Police",2004,98,30000000,7.3,13104,1,0,1,0,0,0,0
"51002",51002,"Tears of the Sun",2003,121,70000000,6.2,8690,1,0,0,1,0,0,0
"51029",51029,"Teen Wolf Too",1987,95,3000000,2.7,2209,0,0,1,0,0,0,0
"51043",51043,"Teenage Mutant Ninja Turtles",1990,93,13500000,5.5,6946,1,0,0,0,0,0,0
"51044",51044,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991,88,25000000,4.6,3429,1,0,0,0,0,0,0
"51144",51144,"Ten Commandments, The",1956,220,13500000,7.7,8895,0,0,0,1,0,0,0
"51241",51241,"Terminal, The",2004,128,60000000,7.1,15809,0,0,1,1,0,1,0
"51243",51243,"Terminator 2: Judgment Day",1991,154,100000000,8.2,77614,1,0,0,1,0,0,0
"51244",51244,"Terminator 3: Rise of the Machines",2003,109,175000000,6.9,32111,1,0,0,0,0,0,0
"51246",51246,"Terminator, The",1984,108,6400000,7.9,59772,1,0,0,1,0,1,0
"51385",51385,"Texas Chain Saw Massacre, The",1974,75,140000,7,10224,0,0,0,0,0,0,0
"51386",51386,"Texas Chainsaw Massacre 2, The",1986,111,4700000,4.6,2107,0,0,0,0,0,0,0
"51387",51387,"Texas Chainsaw Massacre, The",2003,98,9200000,5.9,9587,1,0,0,0,0,0,0
"51488",51488,"That Thing You Do!",1996,108,2500000,6.6,11701,0,0,1,1,0,0,0
